Geography,Geographic Area Name,"Employed population (16+ years, all)","Employed population (16+ years, female)",Workers who commute to work (total),Workers who commute to work (drive alone),Workers who commute to work (carpool),Workers who commute to work (public transit),Workers who commute to work (walk),Workers who commute to work (other),Workers who commute to work (work from home),Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars)
1400000US06037482801,"Census Tract 4828.01, Los Angeles County, California",3266,1842,1684,1432,193,8,0,0,51,31.4,73500,93763
1400000US06037500100,"Census Tract 5001, Los Angeles County, California",2939,1430,1472,1116,206,26,0,7,117,35.8,180720,214887
1400000US06037500202,"Census Tract 5002.02, Los Angeles County, California",4007,2056,1993,1577,137,34,0,17,228,37.9,124321,180468
1400000US06037500203,"Census Tract 5002.03, Los Angeles County, California",3399,1667,1911,1494,186,37,11,34,149,30.3,108925,126969
1400000US06037500204,"Census Tract 5002.04, Los Angeles County, California",1833,922,1208,1018,135,0,0,0,55,42.9,154299,245885
1400000US06037500300,"Census Tract 5003, Los Angeles County, California",2587,1264,1450,1165,123,0,0,49,113,36.2,97425,124794
1400000US06037500402,"Census Tract 5004.02, Los Angeles County, California",4116,2154,2316,1935,255,0,81,0,45,31.8,61505,85162
1400000US06037500403,"Census Tract 5004.03, Los Angeles County, California",2887,1615,1614,1358,238,0,1,4,13,33.9,83438,83218
1400000US06037500404,"Census Tract 5004.04, Los Angeles County, California",3656,1816,2410,2086,196,84,0,18,26,30.2,77028,95656
1400000US06037500500,"Census Tract 5005, Los Angeles County, California",2427,1333,1317,1079,39,124,22,16,37,29.2,62031,70888
1400000US06037500600,"Census Tract 5006, Los Angeles County, California",4009,2003,2456,2075,165,40,0,176,0,29,65577,83895
1400000US06037500700,"Census Tract 5007, Los Angeles County, California",5955,3151,3303,2685,360,61,17,53,127,31.5,68750,85214
1400000US06037500800,"Census Tract 5008, Los Angeles County, California",4227,2212,2607,1797,318,91,15,14,372,32.4,74688,97414
1400000US06037500900,"Census Tract 5009, Los Angeles County, California",4858,2495,2888,2238,418,64,20,16,132,30.5,49375,69908
1400000US06037501001,"Census Tract 5010.01, Los Angeles County, California",2654,1205,1405,1238,48,20,0,43,56,30.1,85800,89359
1400000US06037501002,"Census Tract 5010.02, Los Angeles County, California",3894,1979,2242,2003,127,0,18,9,85,32.4,94527,110684
1400000US06037501200,"Census Tract 5012, Los Angeles County, California",3684,1990,2342,1908,307,43,0,0,84,33.1,99107,101299
1400000US06037501301,"Census Tract 5013.01, Los Angeles County, California",2650,1488,1219,1054,125,0,0,35,5,27.4,77868,82520
1400000US06037501302,"Census Tract 5013.02, Los Angeles County, California",3116,1789,1715,1475,155,2,11,9,63,37.3,51587,79157
1400000US06037501400,"Census Tract 5014, Los Angeles County, California",2792,1496,1640,1355,164,11,79,0,31,36.3,43656,56187
1400000US06037501501,"Census Tract 5015.01, Los Angeles County, California",1937,1079,1109,964,68,9,15,6,47,42.3,106713,132967
1400000US06037501503,"Census Tract 5015.03, Los Angeles County, California",4284,2308,2785,2186,292,16,66,20,205,36.1,70208,78063
